Pinyin,Chinese,English
cai4,菜,dish (type of food); vegetable; cuisine
cha2,茶,tea; tea plant
chi1,吃,to eat; to consume; to eat at (a cafeteria/etc.); to eradicate; to destroy; to absorb; to suffer; to stammer
he1,喝,to drink; my goodness!
mi3 fan4,米饭,(cooked) rice
na3 er5,哪儿,where?; wherever; anywhere
na4,那,that; those; then (in that case)
ping2 guo3,苹果,apple
shi4,是,to be; is; are; am; yes
shui3,水,water; river; liquid; beverage; additional charges or income; classifier for number of washes (for clothes)
zhe4,这,this; these
dong1 xi5,东西,thing; stuff; person
duo1 shao5,多少,how many; how much; which (number); as much as
ge4,个,classifier (for people or objects in general); this; that; size
he2,和,and; together with; with; sum; union; peace; harmony
kuai4,块,chunk; piece; classifier for pieces of cloth/cake/soap/etc.; classifier for money and currency; lump (of earth)
mai3,买,to buy; to purchase
qian2,钱,money; coin
shang1 dian4,商店,store; shop
shui3 guo3,水果,fruit
sui4,岁,classifier for years (of age); year; year (of crop harvests)
xie1,些,some; few; several; measure word indicated a small amount or number (>1)
bei1 zi5,杯子,cup; glass
bu4 ke4 qi5,不客气,you're welcome; don't mention it; impolite; rude; blunt
dui4 bu5 qi3,对不起,I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat); unworthy; to let down
leng3,冷,cold
mei2 guan1 xi5,没关系,it doesn't matter; that's all right
qing3,请,please (do sth.); to ask; to invite; to treat (to a meal/etc.); to request
re4,热,hot (of weather); to warm up; to heat up; heat; fervent
tian1 qi4,天气,weather
xia4 yu3,下雨,to rain
xie4 xie5,谢谢,thank you; to thank; thanks
zai4 jian4,再见,goodbye; see you again later
dian3,点,o'clock;  point; dot; drop; speck; point (in space or time); to draw a dot; to check on a list; to choose; to order (food); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop
fen1 zhong1,分钟,minute
jin1 tian1,今天,today; at the present; now
ming2 tian1,明天,tomorrow
nian2,年,year
ri4,日,sun; day; date; day of the month
yue4,月,month; monthly; moon
shang4 wu3,上午,morning
shi2 hou5,时候,moment; period; length of time; time
xia4 wu3,下午,afternoon; PM
xian4 zai4,现在,now; at present; at the moment; modern; current; nowadays
fei1 ji1,飞机,airplane
hou4 mian4,后面,rear; back; behind; later; afterwards
huo3 che1 zhan4,火车站,train station
li3,里,interior; inside; internal; lining
qian2 mian4,前面,ahead; in front preceding; above
shang4,上,on top; above; upper; upon; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or uni.)
xia4,下,down; downwards; below; lower; later; next (week/etc.); second (of two parts); to decline; to go down; to arrive at (a decision/conclusion/etc.); measure word to show the frequency of an action
xing1 qi1,星期,week; day of the week; Sunday
zhong1 wu3,中午,noon; midday
zuo2 tian1,昨天,yesterday
ai4,爱,to love; to be fond of; to like; affection; to be inclined (to do sth.); to tend (to happen)
dian4 nao3,电脑,computer
dian4 shi4,电视,television
dian4 ying3,电影,movie; film
gao1 xing4,高兴,happy; glad; willing (to do sth.); in a cheerful mood
hao3,好,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); close (of two people); on intimate terms
xi3 huan5,喜欢,to like; to be fond of
yi1 fu5,衣服,clothes
yi3 zi5,椅子,chair
zhuo1 zi5,桌子,table; desk
ba1,八,eight
ba4 ba5,爸爸,father (informal)
bei3 jing1,北京,Beijing; Peking; PRC government
ben3,本,classifer for books/periodicals/files/etc.; roots or stems of plants; origin; source; this; the current; root; foundation; basis; originally
bu4,不,(negative prefix); not; no
chu1 zu1 che1,出租车,taxi; rental car (Taiwan)
da3 dian4 hua4,打电话,to make a telephone call
da4,大,big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; father's elder or younger brother
de5,的,of; ~'s (possessive article); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)
dou1,都,all; both; entirely; even (used for emphasis); already; (not) at all
du2,读,to read; to study; pronunciation
duo1,多,many; much; often; a lot of; numerous; more; in excess; how (to what extent)
er2 zi5,儿子,son
er4,二,two; stupid (Beijing dialect)
fan4 guan3,饭馆,restaurant
gong1 zuo4,工作,to work; to operate (a machine); job; work; task
gou3,狗,dog
han4 yu3,汉语,Chinese language
hen3,很,(adverb of degree); quite; very; awfully
hui2,回,to go back; to circle; to turn around; to answer; to return; to revolve; time; classifier for acts of a play; section or chapter (of a classic book)
hui4,会,will; to be sure to; to be likely to; can; to be possible; to be able to; to assemble; to meet; to gather; to see; union; group; association
ji3,几,how much; how many; several; a few
jia1,家,home; family; (polite) my (sister/uncle/etc.); classifier for families or businesses; noun suffix for a specialist in some activity (e.g. musician/revolutionary) - corresponds to -ist/-er/-ary/-ian
jiao4,叫,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)
jiu3,九,nine
kai1,开,to open; to start; to turn on; to boil; to write out (prescription/check/invoice/etc.); to operate (a vehicle); carat (gold); abbr. for Kelvin
kan4,看,to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (illness); to depend on; to feel (that); to give it a try (after a verb); Watch out! (for danger)
kan4 jian4,看见,to see; to catch sight of
lai2,来,to come; to arrive; to come round; ever since; next
lao3 shi1,老师,teacher
le5,了,(completed action marker); (modal particle intensify preceding clause)
ling2,零,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; remainder (after division); extra; to wither and fall; to wither
liu4,六,six
ma1 ma5,妈妈,mother; mama; mommy
ma5,吗,(question particle for 'yes-no' questions)
